domain
allo.google.com
android.com
cdninstagram.com
dns.google.com
docs.google.com
encrypted.google.com
facebook.com
goo.gl
google.com
groups.google.com
hangouts.google.com
instagram.com
mail.google.com
mail.ru
messages.android.com
messenger.com
news.google.com
ok.ru
picasa.google.com
plus.google.com
rukoeb.com
sites.google.com
sosalkino.tv
tamtam.chat
translate.google.com
twitter.com
video.google.com
vk.com
vk.me
vkuseraudio.net
vkuservideo.net
www.facebook.com
www.google.com
www.instagram.com
www.messenger.com
www.youtube.com
youtube.com
